lake_id,name_oikos,name_recent,island_oikos,island_recent,typology_oikos,sample_code_oikos,island_code_oikos,sample_example,hydro_code,site_codes_recent,lat_wgs84,lon_wgs84,alt_m,area_km2,zmax_m,in_oikos_core_19,in_2011_2012,in_focus_23,hist_diatom,hist_phyto,hist_zoo,hist_macro,hist_env_2011_2012,hist_env_raw,hist_macrophyte,y2011_2012_diatom,y2011_2012_phyto,y2011_2012_zoo,y2011_2012_macro,y2011_2012_env,recent_diatom_2024,recent_diatom_2025,recent_phyto_2024,recent_phyto_2025,recent_zoo_2024,recent_zoo_2025,recent_macro_2024,recent_macro_2025,recent_env_2024,recent_env_2025,match_status,notes
caldeirao,Caldeirao,Caldeirão,Corvo,Corvo,Shallow,Cl,Co,Cl(Co),CORL0011,CL_M1;CL_M2,39.712981,-31.107635,410.0,0.32,0.2,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,True,True,True,True,matched,Oikos sample codes use Cl(Co); 2011–2012 environment file uses Cl(Fo).
branca,Branca,,Flores,Flores,Shallow,Br,Fo,Br(Fo),,,,,,,,False,False,False,True,True,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,historical_only,Present in 2003–2012 diatom/phyto/macro files; not in the 19-lake Oikos set and not in 2024–2025 files.
comprida,Comprida,Comprida,Flores,Flores,Deep,Cm,Fo,Cm(Fo),FLOL0051,CM_M1,39.441394,-31.221389,650.0,0.05,14.3,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,matched,
funda,Funda,Funda,Flores,Flores,Deep,Fn,Fo,Fn(Fo),FLOL0011,FN_M1,39.405917,-31.217624,360.0,0.35,31.9,False,True,True,True,True,True,False,True,True,True,True,True,True,False,True,True,True,True,True,False,True,True,True,True,True,matched,"Has zooplankton in 2011 but no macroinvertebrates in the Oikos-era matrices, so excluded from the 19-lake paper set."
lomba,Lomba,Lomba,Flores,Flores,Deep,Lm,Fo,Lm(Fo),FLOL0031,LM_M1;LM_M2,39.425381,-31.188914,650.0,0.02,15.27,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,matched,
negra,Negra,Negra,Flores,Flores,Deep,Ng,Fo,Ng(Fo),FLOL0061,NG_M1,39.442399,-31.225773,530.0,0.11,115.0,False,True,True,True,True,False,True,True,True,True,True,True,False,True,True,True,True,True,True,False,True,True,True,True,True,matched,No zooplankton in the Oikos-era matrix; excluded from the 19-lake paper set.
rasa,Rasa,Rasa,Flores,Flores,Deep,Rs,Fo,Rs(Fo),FLOL0021,RS_M1;RS_M2,39.409599,-31.224637,530.0,0.1,16.8,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,matched,Do not confuse with Rasa Serra Devassa or Rasa Sete Cidades on São Miguel. Sample prefix Rs is reused on Pico (Rosada) and São Miguel (Rasa Serra Devassa).
caiado,Caiado,Caiado,Pico,Pico,Shallow,Cd,Pi,Cd(Pi),PICL0041,CD_M1;CD_M2,38.456646,-28.250922,810.0,0.05,4.6,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,matched,
capitao,Capitao,Capitão,Pico,Pico,Shallow,Cp,Pi,Cp(Pi),PICL0051,CP_M1;CP_M2,38.487568,-28.318806,790.0,0.03,4.03,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,matched,
paul,Paul,Paúl,Pico,Pico,Shallow,Pl,Pi,Pl(Pi),PICL0011,PL_M1;PL_M2,38.427785,-28.232214,790.0,0.02,2.9,False,True,True,True,True,False,True,True,True,True,True,True,False,True,True,True,True,True,True,False,True,True,True,True,True,matched,No zooplankton in the Oikos-era matrix; excluded from the 19-lake paper set.
peixinho,Peixinho,Peixinho,Pico,Pico,Shallow,Px,Pi,Px(Pi),PICL0031,PX_M1;PX_M2,38.434546,-28.173955,870.0,0.01,7.8,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,matched,
rosada,Rosada,Rosada,Pico,Pico,Shallow,Rs,Pi,Rs(Pi),PICL0021,RSD_M1;RSD_M2,38.432672,-28.185889,900.0,0.01,7.1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,matched,Recent site codes use RSD (Rosada). Historical sample prefix Rs is shared with Rasa (Flores).
azul,Azul,Azul,Sao Miguel,São Miguel,Deep,Az,Mi,Az(Mi),SMGL0211,A_M1;A_M2,37.868434,-25.781534,260.0,3.59,25.35,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,matched,"Lagoa Azul, Sete Cidades."
canario,Canario,Canário,Sao Miguel,São Miguel,Shallow,Cn,Mi,Cn(Mi),SMGL0171,CN_M1;CN_M2,37.836032,-25.759657,750.0,0.02,2.3,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,matched,
congro,Congro,Congro,Sao Miguel,São Miguel,Deep,Cg,Mi,Cg(Mi),SMGL0011,CG_M1,37.75653,-25.407737,420.0,0.04,17.73,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,matched,
empadadas_norte,Empadadas Norte,Empadadas Norte,Sao Miguel,São Miguel,Shallow,Em-N,Mi,Em-N(Mi),SMGL0151,EN_M1;EN_M2,37.826339,-25.748484,740.0,0.02,3.3,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,matched,
empadadas_sul,Empadadas Sul,Empadadas Sul,Sao Miguel,São Miguel,Shallow,Em-S,Mi,Em-S(Mi),SMGL0131,ES_M1;ES_M2,37.824456,-25.746934,750.0,0.0,2.45,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,True,True,True,True,matched,
fogo,Fogo,Fogo,Sao Miguel,São Miguel,Deep,Fg,Mi,Fg(Mi),SMGL0031,FG_M1;FG_M2,37.762703,-25.47457,574.0,1.44,24.2,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,matched,
furnas,Furnas,Furnas,Sao Miguel,São Miguel,Deep,Fr,Mi,Fr(Mi),SMGL0021,F_M1;F_M2,37.758229,-25.332756,280.0,1.93,11.5,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,matched,
rasa_serra_devassa,Rasa Serra Devassa,Rasa Serra Devassa,Sao Miguel,São Miguel,Shallow,Rs,Mi,Rs(Mi),SMGL0141,RSSD_M1;RSSD_M2,39.409599,-31.224637,765.0,0.03,0.8,False,True,True,True,True,False,True,True,True,True,True,True,False,True,True,True,True,True,True,False,False,True,True,True,True,matched,"No zooplankton in the Oikos-era matrix. Environment_20112012.csv copies Flores Rasa coordinates (39.41, -31.22) onto this São Miguel lake — do not use those lat/long."
rasa_sete_cidades,Rasa Sete Cidades,Rasa Sete Cidades,Sao Miguel,São Miguel,Shallow,Rt,Mi,Rt(Mi),SMGL0181,RSSC_M1;RSSC_M2,37.843063,-25.779549,545.0,0.04,4.53,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,matched,
santiago,Santiago,Santiago,Sao Miguel,São Miguel,Deep,Sn,Mi,Sn(Mi),SMGL0201,STG_M1,37.848673,-25.773906,360.0,0.25,28.75,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,matched,Historical files also use St as a sample prefix in diatoms.
sao_bras,Sao Bras,São Brás,Sao Miguel,São Miguel,Shallow,Br,Mi,Br(Mi),SMGL0101,BR_M1;BR_M2,37.793287,-25.409823,610.0,0.06,2.05,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,matched,Sample prefix Br is also used for Branca on Flores.
verde,Verde,Verde,Sao Miguel,São Miguel,Deep,Vr,Mi,Vr(Mi),SMGL0191,V_M1;V_M2,37.847537,-25.788922,260.0,0.86,23.5,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,matched,"Lagoa Verde, Sete Cidades."
cubres_este,Cubres Este,Cubres Este,Sao Jorge,São Jorge,,,,,T002,CUE_M1;CUE_M2,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,True,True,True,False,False,recent_only,Coastal fajã lagoon. Recent-only; not in Matias et al. Oikos lakes.
cubres_oeste,Cubres Oeste,Cubres Oeste,Sao Jorge,São Jorge,,,,,T003,CUW_M1;CUW_M2,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,True,True,True,False,False,recent_only,Coastal fajã lagoon. Recent-only; not in Matias et al. Oikos lakes.
santo_cristo,Santo Cristo,Santo Cristo,Sao Jorge,São Jorge,,,,,T001,SCR_M1;SCR_M2,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,True,True,True,False,False,recent_only,Coastal fajã lagoon. Recent-only; not in Matias et al. Oikos lakes.
