Lake,name_display,island_oikos,in_oikos_core_19,in_focus_23,match_status,group,period,Year,n_taxa_mean,n_taxa_max,n_seasons
Azul,Azul,Sao Miguel,True,True,matched,diatom,2015,2015,29.0,29,1
Azul,Azul,Sao Miguel,True,True,matched,diatom,2016,2016,38.25,40,3
Azul,Azul,Sao Miguel,True,True,matched,diatom,2017_2018,2017,21.0,21,1
Azul,Azul,Sao Miguel,True,True,matched,diatom,2017_2018,2018,26.0,32,3
Azul,Azul,Sao Miguel,True,True,matched,diatom,2024,2024,33.0,42,4
Azul,Azul,Sao Miguel,True,True,matched,diatom,2025,2025,25.5,29,4
Azul,Azul,Sao Miguel,True,True,matched,diatom,historical,2003,39.0,39,1
Azul,Azul,Sao Miguel,True,True,matched,diatom,historical,2004,44.33,45,3
Azul,Azul,Sao Miguel,True,True,matched,diatom,historical,2005,44.67,56,3
Azul,Azul,Sao Miguel,True,True,matched,diatom,historical,2006,39.33,44,3
Azul,Azul,Sao Miguel,True,True,matched,diatom,historical,2007,35.0,35,1
Azul,Azul,Sao Miguel,True,True,matched,diatom,historical,2008,36.25,50,4
Azul,Azul,Sao Miguel,True,True,matched,diatom,historical,2009,28.5,31,2
Azul,Azul,Sao Miguel,True,True,matched,diatom,historical,2010,36.25,41,4
Azul,Azul,Sao Miguel,True,True,matched,diatom,historical,2011,35.25,39,4
Azul,Azul,Sao Miguel,True,True,matched,diatom,historical,2012,32.0,35,4
Azul,Azul,Sao Miguel,True,True,matched,macro,2018,2018,10.0,10,1
Azul,Azul,Sao Miguel,True,True,matched,macro,2024,2024,9.25,12,4
Azul,Azul,Sao Miguel,True,True,matched,macro,2025,2025,9.75,12,4
Azul,Azul,Sao Miguel,True,True,matched,macro,historical,2003,3.0,3,1
Azul,Azul,Sao Miguel,True,True,matched,macro,historical,2004,6.33,7,3
Azul,Azul,Sao Miguel,True,True,matched,macro,historical,2005,11.67,14,3
Azul,Azul,Sao Miguel,True,True,matched,macro,historical,2006,12.67,15,3
Azul,Azul,Sao Miguel,True,True,matched,macro,historical,2008,12.75,15,4
Azul,Azul,Sao Miguel,True,True,matched,macro,historical,2009,13.0,15,2
Azul,Azul,Sao Miguel,True,True,matched,macro,historical,2010,15.5,20,4
Azul,Azul,Sao Miguel,True,True,matched,macro,historical,2011,14.5,19,4
Azul,Azul,Sao Miguel,True,True,matched,macro,historical,2012,11.75,16,4
Azul,Azul,Sao Miguel,True,True,matched,macrophyte,historical,2010,9.0,9,1
Azul,Azul,Sao Miguel,True,True,matched,macrophyte,historical,2011,7.0,7,1
Azul,Azul,Sao Miguel,True,True,matched,macrophyte,historical,2012,10.0,10,1
Azul,Azul,Sao Miguel,True,True,matched,phyto,2018,2018,23.5,26,4
Azul,Azul,Sao Miguel,True,True,matched,phyto,2024,2024,13.5,21,4
Azul,Azul,Sao Miguel,True,True,matched,phyto,2025,2025,7.75,9,4
Azul,Azul,Sao Miguel,True,True,matched,phyto,historical,2003,24.0,24,1
Azul,Azul,Sao Miguel,True,True,matched,phyto,historical,2004,26.33,28,3
Azul,Azul,Sao Miguel,True,True,matched,phyto,historical,2005,28.33,32,3
Azul,Azul,Sao Miguel,True,True,matched,phyto,historical,2006,19.33,25,3
Azul,Azul,Sao Miguel,True,True,matched,phyto,historical,2007,14.0,14,1
Azul,Azul,Sao Miguel,True,True,matched,phyto,historical,2008,23.5,26,4
Azul,Azul,Sao Miguel,True,True,matched,phyto,historical,2009,16.5,17,2
Azul,Azul,Sao Miguel,True,True,matched,phyto,historical,2010,25.25,33,4
Azul,Azul,Sao Miguel,True,True,matched,phyto,historical,2011,28.5,33,4
Azul,Azul,Sao Miguel,True,True,matched,phyto,historical,2012,24.75,29,4
Azul,Azul,Sao Miguel,True,True,matched,zoo,2025,2025,5.0,5,1
Azul,Azul,Sao Miguel,True,True,matched,zoo,historical,2011,14.0,19,2
Azul,Azul,Sao Miguel,True,True,matched,zoo,historical,2012,12.0,13,2
Branca,Branca,Flores,False,False,historical_only,diatom,historical,2006,17.0,23,2
Branca,Branca,Flores,False,False,historical_only,diatom,historical,2008,14.5,18,2
Branca,Branca,Flores,False,False,historical_only,macro,historical,2006,3.0,3,1
Branca,Branca,Flores,False,False,historical_only,macro,historical,2008,6.0,6,1
Branca,Branca,Flores,False,False,historical_only,macrophyte,historical,2008,7.0,7,1
Branca,Branca,Flores,False,False,historical_only,phyto,historical,2006,40.0,42,2
Branca,Branca,Flores,False,False,historical_only,phyto,historical,2008,36.5,38,2
Caiado,Caiado,Pico,True,True,matched,diatom,2015,2015,23.0,23,1
Caiado,Caiado,Pico,True,True,matched,diatom,2016,2016,25.5,32,3
Caiado,Caiado,Pico,True,True,matched,diatom,2017,2017,26.0,26,1
Caiado,Caiado,Pico,True,True,matched,diatom,2017_2018,2017,21.0,21,1
Caiado,Caiado,Pico,True,True,matched,diatom,2017_2018,2018,21.5,24,2
Caiado,Caiado,Pico,True,True,matched,diatom,2024,2024,26.0,34,4
Caiado,Caiado,Pico,True,True,matched,diatom,2025,2025,25.0,28,4
Caiado,Caiado,Pico,True,True,matched,diatom,historical,2004,31.0,31,1
Caiado,Caiado,Pico,True,True,matched,diatom,historical,2005,28.0,31,3
Caiado,Caiado,Pico,True,True,matched,diatom,historical,2006,26.5,31,2
Caiado,Caiado,Pico,True,True,matched,diatom,historical,2008,33.5,51,2
Caiado,Caiado,Pico,True,True,matched,diatom,historical,2009,14.5,22,2
Caiado,Caiado,Pico,True,True,matched,diatom,historical,2010,21.0,25,4
Caiado,Caiado,Pico,True,True,matched,diatom,historical,2011,27.25,28,4
Caiado,Caiado,Pico,True,True,matched,diatom,historical,2012,22.5,28,4
Caiado,Caiado,Pico,True,True,matched,macro,2018,2018,13.0,13,1
Caiado,Caiado,Pico,True,True,matched,macro,2024,2024,6.25,10,4
Caiado,Caiado,Pico,True,True,matched,macro,2025,2025,7.5,12,4
Caiado,Caiado,Pico,True,True,matched,macro,historical,2004,5.0,5,1
Caiado,Caiado,Pico,True,True,matched,macro,historical,2005,7.0,13,3
Caiado,Caiado,Pico,True,True,matched,macro,historical,2006,6.0,6,1
Caiado,Caiado,Pico,True,True,matched,macro,historical,2008,8.75,10,4
Caiado,Caiado,Pico,True,True,matched,macro,historical,2009,8.5,9,2
Caiado,Caiado,Pico,True,True,matched,macro,historical,2010,3.5,5,4
Caiado,Caiado,Pico,True,True,matched,macro,historical,2011,4.75,8,4
Caiado,Caiado,Pico,True,True,matched,macro,historical,2012,7.0,9,4
Caiado,Caiado,Pico,True,True,matched,macrophyte,historical,2008,6.0,6,1
Caiado,Caiado,Pico,True,True,matched,macrophyte,historical,2010,9.0,9,1
Caiado,Caiado,Pico,True,True,matched,macrophyte,historical,2011,15.0,15,1
Caiado,Caiado,Pico,True,True,matched,macrophyte,historical,2012,12.0,12,1
Caiado,Caiado,Pico,True,True,matched,phyto,2018,2018,20.5,23,4
Caiado,Caiado,Pico,True,True,matched,phyto,2024,2024,14.0,21,4
Caiado,Caiado,Pico,True,True,matched,phyto,2025,2025,6.25,9,4
Caiado,Caiado,Pico,True,True,matched,phyto,historical,2004,18.0,18,1
Caiado,Caiado,Pico,True,True,matched,phyto,historical,2005,20.67,25,3
Caiado,Caiado,Pico,True,True,matched,phyto,historical,2006,17.5,20,4
Caiado,Caiado,Pico,True,True,matched,phyto,historical,2008,23.75,32,4
Caiado,Caiado,Pico,True,True,matched,phyto,historical,2009,20.0,22,2
Caiado,Caiado,Pico,True,True,matched,phyto,historical,2010,17.25,24,4
Caiado,Caiado,Pico,True,True,matched,phyto,historical,2011,22.75,26,4
Caiado,Caiado,Pico,True,True,matched,phyto,historical,2012,17.0,20,4
Caiado,Caiado,Pico,True,True,matched,zoo,2025,2025,6.0,6,1
Caiado,Caiado,Pico,True,True,matched,zoo,historical,2011,18.0,18,1
Caldeirao,Caldeirão,Corvo,True,True,matched,diatom,2015,2015,26.0,26,1
Caldeirao,Caldeirão,Corvo,True,True,matched,diatom,2016,2016,26.0,35,3
Caldeirao,Caldeirão,Corvo,True,True,matched,diatom,2017,2017,39.0,39,1
Caldeirao,Caldeirão,Corvo,True,True,matched,diatom,2017_2018,2017,26.0,26,1
Caldeirao,Caldeirão,Corvo,True,True,matched,diatom,2017_2018,2018,29.0,30,2
Caldeirao,Caldeirão,Corvo,True,True,matched,diatom,2024,2024,22.0,28,4
Caldeirao,Caldeirão,Corvo,True,True,matched,diatom,2025,2025,22.67,25,3
Caldeirao,Caldeirão,Corvo,True,True,matched,diatom,historical,2006,31.33,39,3
Caldeirao,Caldeirão,Corvo,True,True,matched,diatom,historical,2008,29.0,29,2
Caldeirao,Caldeirão,Corvo,True,True,matched,diatom,historical,2009,25.0,26,2
Caldeirao,Caldeirão,Corvo,True,True,matched,diatom,historical,2010,54.0,54,1
