Lake,Year,Season,n_taxa,n_taxa_listed,group,period,island_oikos,in_oikos_core_19,in_focus_23,match_status,name_display
Caldeirao,2006,Winter,31,412,diatom,historical,Corvo,True,True,matched,Caldeirão
Caldeirao,2006,Spring,24,412,diatom,historical,Corvo,True,True,matched,Caldeirão
Caldeirao,2006,Summer,39,412,diatom,historical,Corvo,True,True,matched,Caldeirão
Caldeirao,2008,Spring,29,412,diatom,historical,Corvo,True,True,matched,Caldeirão
Caldeirao,2008,Autumn,29,412,diatom,historical,Corvo,True,True,matched,Caldeirão
Caldeirao,2009,Spring,24,412,diatom,historical,Corvo,True,True,matched,Caldeirão
Caldeirao,2009,Summer,26,412,diatom,historical,Corvo,True,True,matched,Caldeirão
Caldeirao,2010,Spring,54,412,diatom,historical,Corvo,True,True,matched,Caldeirão
Caldeirao,2011,Winter,40,412,diatom,historical,Corvo,True,True,matched,Caldeirão
Caldeirao,2011,Spring,38,412,diatom,historical,Corvo,True,True,matched,Caldeirão
Caldeirao,2011,Summer,36,412,diatom,historical,Corvo,True,True,matched,Caldeirão
Caldeirao,2011,Autumn,31,412,diatom,historical,Corvo,True,True,matched,Caldeirão
Caldeirao,2012,Winter,42,412,diatom,historical,Corvo,True,True,matched,Caldeirão
Caldeirao,2012,Spring,38,412,diatom,historical,Corvo,True,True,matched,Caldeirão
Caldeirao,2012,Summer,25,412,diatom,historical,Corvo,True,True,matched,Caldeirão
Caldeirao,2012,Autumn,29,412,diatom,historical,Corvo,True,True,matched,Caldeirão
Caldeirao,2015,Autumn,26,,diatom,2015,Corvo,True,True,matched,Caldeirão
Caldeirao,2016,Spring,27,,diatom,2016,Corvo,True,True,matched,Caldeirão
Caldeirao,2016,Spring,23,,diatom,2016,Corvo,True,True,matched,Caldeirão
Caldeirao,2016,Summer,19,,diatom,2016,Corvo,True,True,matched,Caldeirão
Caldeirao,2016,Autumn,35,,diatom,2016,Corvo,True,True,matched,Caldeirão
Caldeirao,2017,Winter,39,,diatom,2017,Corvo,True,True,matched,Caldeirão
Caldeirao,2017,Autumn,26,,diatom,2017_2018,Corvo,True,True,matched,Caldeirão
Caldeirao,2018,Winter,28,,diatom,2017_2018,Corvo,True,True,matched,Caldeirão
Caldeirao,2018,Spring,30,,diatom,2017_2018,Corvo,True,True,matched,Caldeirão
Caldeirao,2024,Winter,28,,diatom,2024,Corvo,True,True,matched,Caldeirão
Caldeirao,2024,Spring,25,,diatom,2024,Corvo,True,True,matched,Caldeirão
Caldeirao,2024,Summer,16,,diatom,2024,Corvo,True,True,matched,Caldeirão
Caldeirao,2024,Autumn,19,,diatom,2024,Corvo,True,True,matched,Caldeirão
Caldeirao,2025,Winter,25,,diatom,2025,Corvo,True,True,matched,Caldeirão
Caldeirao,2025,Spring,21,,diatom,2025,Corvo,True,True,matched,Caldeirão
Caldeirao,2025,Summer,22,,diatom,2025,Corvo,True,True,matched,Caldeirão
Caldeirao,2006,Winter,4,156,macro,historical,Corvo,True,True,matched,Caldeirão
Caldeirao,2006,Spring,8,156,macro,historical,Corvo,True,True,matched,Caldeirão
Caldeirao,2008,Spring,6,156,macro,historical,Corvo,True,True,matched,Caldeirão
Caldeirao,2008,Autumn,2,156,macro,historical,Corvo,True,True,matched,Caldeirão
Caldeirao,2009,Winter,3,156,macro,historical,Corvo,True,True,matched,Caldeirão
Caldeirao,2009,Summer,4,156,macro,historical,Corvo,True,True,matched,Caldeirão
Caldeirao,2010,Winter,7,156,macro,historical,Corvo,True,True,matched,Caldeirão
Caldeirao,2010,Summer,5,156,macro,historical,Corvo,True,True,matched,Caldeirão
Caldeirao,2011,Winter,7,156,macro,historical,Corvo,True,True,matched,Caldeirão
Caldeirao,2011,Spring,11,156,macro,historical,Corvo,True,True,matched,Caldeirão
Caldeirao,2011,Summer,7,156,macro,historical,Corvo,True,True,matched,Caldeirão
Caldeirao,2011,Autumn,8,156,macro,historical,Corvo,True,True,matched,Caldeirão
Caldeirao,2012,Winter,11,156,macro,historical,Corvo,True,True,matched,Caldeirão
Caldeirao,2012,Spring,6,156,macro,historical,Corvo,True,True,matched,Caldeirão
Caldeirao,2012,Summer,10,156,macro,historical,Corvo,True,True,matched,Caldeirão
Caldeirao,2012,Autumn,9,156,macro,historical,Corvo,True,True,matched,Caldeirão
Caldeirao,2018,Spring,5,121.0,macro,2018,Corvo,True,True,matched,Caldeirão
Caldeirao,2024,Winter,7,,macro,2024,Corvo,True,True,matched,Caldeirão
Caldeirao,2024,Spring,9,,macro,2024,Corvo,True,True,matched,Caldeirão
Caldeirao,2024,Summer,8,,macro,2024,Corvo,True,True,matched,Caldeirão
Caldeirao,2024,Autumn,7,,macro,2024,Corvo,True,True,matched,Caldeirão
Caldeirao,2025,Winter,5,,macro,2025,Corvo,True,True,matched,Caldeirão
Caldeirao,2025,Spring,6,,macro,2025,Corvo,True,True,matched,Caldeirão
Caldeirao,2025,Summer,6,,macro,2025,Corvo,True,True,matched,Caldeirão
Caldeirao,2008,Spring,13,127,macrophyte,historical,Corvo,True,True,matched,Caldeirão
Caldeirao,2010,Summer,2,127,macrophyte,historical,Corvo,True,True,matched,Caldeirão
Caldeirao,2011,Summer,7,127,macrophyte,historical,Corvo,True,True,matched,Caldeirão
Caldeirao,2012,Summer,12,127,macrophyte,historical,Corvo,True,True,matched,Caldeirão
Caldeirao,2006,Winter,15,279,phyto,historical,Corvo,True,True,matched,Caldeirão
Caldeirao,2006,Spring,8,279,phyto,historical,Corvo,True,True,matched,Caldeirão
Caldeirao,2006,Summer,12,279,phyto,historical,Corvo,True,True,matched,Caldeirão
Caldeirao,2008,Spring,27,279,phyto,historical,Corvo,True,True,matched,Caldeirão
Caldeirao,2008,Autumn,23,279,phyto,historical,Corvo,True,True,matched,Caldeirão
Caldeirao,2009,Winter,22,279,phyto,historical,Corvo,True,True,matched,Caldeirão
Caldeirao,2009,Summer,19,279,phyto,historical,Corvo,True,True,matched,Caldeirão
Caldeirao,2010,Winter,20,279,phyto,historical,Corvo,True,True,matched,Caldeirão
Caldeirao,2010,Summer,26,279,phyto,historical,Corvo,True,True,matched,Caldeirão
Caldeirao,2011,Winter,12,279,phyto,historical,Corvo,True,True,matched,Caldeirão
Caldeirao,2011,Spring,14,279,phyto,historical,Corvo,True,True,matched,Caldeirão
Caldeirao,2011,Summer,14,279,phyto,historical,Corvo,True,True,matched,Caldeirão
Caldeirao,2011,Autumn,20,279,phyto,historical,Corvo,True,True,matched,Caldeirão
Caldeirao,2012,Winter,17,279,phyto,historical,Corvo,True,True,matched,Caldeirão
Caldeirao,2012,Spring,15,279,phyto,historical,Corvo,True,True,matched,Caldeirão
Caldeirao,2012,Summer,19,279,phyto,historical,Corvo,True,True,matched,Caldeirão
Caldeirao,2012,Autumn,25,279,phyto,historical,Corvo,True,True,matched,Caldeirão
